epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.282,0.37894,0.36594,0.93375,0.95891,0.9676,0.98799,0.97894,0.1897,0.20135,0.75946,0.00055347,0.00055347,0.00055347
2,308.757,0.389,0.35887,0.93579,0.96455,0.96206,0.98591,0.97269,0.21888,0.2097,0.77039,0.00103593,0.00103593,0.00103593
3,469.953,0.39976,0.36757,0.93858,0.94638,0.94059,0.98103,0.96491,0.21567,0.25513,0.776,0.00144505,0.00144505,0.00144505
4,626.763,0.40443,0.37504,0.94396,0.95825,0.9548,0.98638,0.97285,0.24708,0.24628,0.77823,0.00133693,0.00133693,0.00133693
5,781.562,0.40417,0.37375,0.9415,0.96159,0.9589,0.98691,0.97495,0.21942,0.21956,0.76896,0.00122691,0.00122691,0.00122691
6,898.833,0.29013,0.27919,0.85029,0.93477,0.94288,0.97998,0.96422,0.24973,0.27644,0.78154,0.00111689,0.00111689,0.00111689
7,1012.9,0.27734,0.26353,0.84259,0.95915,0.95075,0.98346,0.96769,0.23021,0.23637,0.77851,0.00100687,0.00100687,0.00100687
8,1124.74,0.27272,0.25016,0.84087,0.96421,0.96476,0.98858,0.97665,0.21917,0.21625,0.77209,0.000896846,0.000896846,0.000896846
9,1242.68,0.26636,0.24144,0.8428,0.94893,0.95759,0.98043,0.96742,0.21641,0.24334,0.76613,0.000786824,0.000786824,0.000786824
