epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2684.59,0.42648,0.37554,0.94771,0.92321,0.88676,0.97444,0.95195,0.26994,0.32444,0.78283,0.000990365,0.000990365,0.000990365
43,2748.07,0.41898,0.37434,0.94002,0.92905,0.88913,0.96509,0.94018,0.26777,0.30596,0.78598,0.000973861,0.000973861,0.000973861
44,2812.52,0.41416,0.36844,0.94198,0.87844,0.90684,0.93831,0.91923,0.24334,0.38706,0.77835,0.000957358,0.000957358,0.000957358
45,2875.43,0.41387,0.36554,0.94004,0.87627,0.92231,0.94477,0.9232,0.26839,0.35105,0.78032,0.000940855,0.000940855,0.000940855
46,2937.82,0.41457,0.37156,0.94012,0.89391,0.92383,0.95314,0.92729,0.27051,0.32031,0.78308,0.000924352,0.000924352,0.000924352
47,3002.06,0.42567,0.36838,0.9464,0.89528,0.94942,0.95307,0.93611,0.24212,0.26774,0.77588,0.000907848,0.000907848,0.000907848
48,3065.53,0.41329,0.36321,0.94071,0.91685,0.90415,0.95657,0.92865,0.28864,0.28969,0.786,0.000891345,0.000891345,0.000891345
49,3128.75,0.40711,0.36824,0.94183,0.91681,0.91627,0.96912,0.9342,0.30401,0.2961,0.79225,0.000874842,0.000874842,0.000874842
50,3194.63,0.4128,0.36124,0.93889,0.93744,0.90688,0.97481,0.95611,0.23125,0.25372,0.77241,0.000858338,0.000858338,0.000858338
51,3260.68,0.40871,0.36389,0.93819,0.92491,0.899,0.96827,0.94933,0.24028,0.29168,0.77433,0.000841835,0.000841835,0.000841835
52,3325.6,0.41169,0.36468,0.94268,0.91023,0.90105,0.96027,0.94568,0.23979,0.2846,0.77611,0.000825332,0.000825332,0.000825332
53,3389.53,0.4071,0.36106,0.93762,0.90657,0.92224,0.96455,0.94868,0.22414,0.28821,0.773,0.000808828,0.000808828,0.000808828
54,3452.82,0.39474,0.35371,0.93138,0.91787,0.90951,0.9687,0.95445,0.24458,0.2758,0.77756,0.000792325,0.000792325,0.000792325
55,3517.84,0.39771,0.3517,0.93399,0.88843,0.9471,0.93865,0.92426,0.23202,0.276,0.77409,0.000775822,0.000775822,0.000775822
56,3582.15,0.39338,0.35808,0.93124,0.92564,0.88529,0.97155,0.94356,0.26326,0.28296,0.78084,0.000759318,0.000759318,0.000759318
57,3645.77,0.40017,0.33925,0.93749,0.917,0.92367,0.96223,0.94705,0.2214,0.27354,0.7716,0.000742815,0.000742815,0.000742815
58,3710.72,0.39187,0.33628,0.93392,0.9096,0.93612,0.96962,0.9523,0.23218,0.25172,0.77002,0.000726312,0.000726312,0.000726312
59,3775.26,0.38919,0.33781,0.93306,0.898,0.93403,0.96256,0.93955,0.25914,0.27907,0.78026,0.000709809,0.000709809,0.000709809
60,3843.78,0.38966,0.34186,0.92922,0.9279,0.90234,0.96447,0.95143,0.222,0.27065,0.76928,0.000693305,0.000693305,0.000693305
61,3908.8,0.39474,0.34526,0.93828,0.90659,0.89464,0.96713,0.95125,0.23421,0.2924,0.77319,0.000676802,0.000676802,0.000676802
62,3974.47,0.38863,0.33797,0.93427,0.88822,0.93038,0.96511,0.94629,0.25833,0.29266,0.78094,0.000660299,0.000660299,0.000660299
63,4038.8,0.39352,0.33959,0.9361,0.88459,0.93345,0.96099,0.94223,0.23953,0.31174,0.7713,0.000643795,0.000643795,0.000643795
64,4104.47,0.37742,0.3371,0.92536,0.89868,0.92913,0.96557,0.94696,0.24301,0.27827,0.77301,0.000627292,0.000627292,0.000627292
